SFR	SD_GAS
0.01843	18.46
0.00641	9.813
0.008162	10.5
0.009277	12.94
0.006917	9.61
0.003805	5.74
0.003272	4.971
0.007926	10.28
0.004764	5.002
0.001475	1.96
0.001759	2.963
0.003096	4.286
0.001656	2.587
0.001645	1.414
0.001597	2.808
0.001377	0.708
0.001093	0.3523
0.001834	2.707
0.001433	1.272
0.003294	4.112
0.001173	0.5001
0.0006309	0.2551
0.02247	12.0
0.009745	7.393
0.01076	7.143
0.005041	3.705
0.008903	5.1
0.00547	5.072
0.01023	6.057
0.003849	2.845
0.01065	5.126
0.00241	1.986
0.005146	3.831
0.002348	0.5252
0.007688	4.49
0.00154	0.6713
0.005508	2.341
0.003412	2.673
0.001662	2.459
0.004599	3.071
0.001386	1.627
0.001793	0.2342
0.003678	3.526
0.002421	3.169
0.001669	1.195
0.001408	0.7361
0.002197	2.566
0.001174	1.271
0.002366	2.06
0.002438	1.865
0.001385	1.688
0.001674	1.102
0.001768	1.873
0.001628	1.032
0.001514	0.5502
0.001538	0.7089
0.002598	0.8509
0.0008437	0.7135
0.001072	0.7321
0.001027	0.3138
0.0008505	0.6593
0.001119	0.4442
0.00217	0.5938
0.0008851	0.2538
0.007725	21.3
0.003933	14.96
0.005855	17.3
0.004888	16.93
0.004395	14.64
0.00476	14.85
0.005455	15.18
0.004748	14.65
0.004516	13.67
0.007443	14.4
0.004038	13.25
0.005798	13.83
0.006576	12.17
0.009774	18.8
0.007597	14.8
0.003606	12.92
0.007082	14.53
0.003716	12.6
0.005466	16.83
0.003403	8.423
0.01051	15.27
0.01442	18.44
0.003499	11.3
0.002559	8.719
0.007006	12.36
0.005276	12.66
0.007807	19.48
0.004728	13.96
0.008141	16.95
0.005328	16.74
0.00464	14.75
0.0055	11.92
0.004011	9.896
0.002793	12.83
0.009517	15.37
0.004954	15.52
0.003914	15.02
0.002092	7.046
0.008406	16.76
0.004659	12.87
0.00478	13.29
0.002451	5.577
0.00887	13.03
0.01882	21.73
0.001603	7.321
0.005919	9.504
0.005562	11.81
0.003047	5.4
0.001964	7.601
0.007118	7.922
0.004691	9.987
0.001751	2.726
0.001688	5.759
0.005251	9.946
0.005151	9.83
0.003497	5.653
0.002822	4.934
0.008097	9.846
0.005039	6.477
0.0009779	4.035
0.00306	4.026
0.007911	7.799
0.007019	5.66
0.003108	4.86
0.002834	3.915
0.002662	2.66
0.009064	8.019
0.003706	5.789
0.002352	3.917
0.002163	2.829
0.007153	4.172
0.004514	3.714
0.003597	4.476
0.003269	3.81
0.002261	2.942
0.003333	3.992
0.001692	1.755
0.002844	4.637
0.001486	1.417
0.002728	2.74
0.002384	3.181
0.003369	1.683
0.00227	1.533
0.001558	0.5125
0.002483	1.887
0.002752	2.373
0.002059	1.474
0.004414	3.454
0.001833	1.796
0.001451	1.246
0.003499	2.979
0.002457	1.355
0.003006	0.8387
0.00232	2.148
0.001689	1.076
0.002947	1.46
0.004055	1.78
0.0008359	0.4856
0.00366	1.306
0.0008602	0.7469
0.006851	2.386
0.004261	1.886
0.002781	0.3572
0.0754	63.58
0.03588	24.13
0.01929	16.66
0.03637	21.78
0.01917	20.46
0.02142	23.78
0.04228	23.31
0.01026	13.29
0.01085	8.309
0.002644	4.389
0.007545	9.223
0.004563	3.781
0.01338	6.935
0.01353	16.76
0.008099	14.23
0.01176	10.17
0.01409	17.15
0.00603	11.83
0.004007	4.725
0.008968	12.22
0.005699	11.49
0.0104	8.059
0.005848	4.424
0.002318	1.661
0.001203	0.2477
0.006296	7.357
0.001349	3.099
0.002478	10.88
0.001242	1.031
0.004263	6.955
0.001718	4.22
0.004517	4.944
0.002047	6.058
0.001616	1.023
0.003588	2.791
0.002204	5.883
0.001327	3.095
0.001434	2.077
0.0001195	0.3164
0.0008397	0.6383
0.0002737	0.4692
0.02837	109.7
0.003175	23.62
0.002868	15.92
0.0032	9.902
0.002402	12.38
0.002349	16.67
0.003114	11.14
0.0007163	0.4952
0.0003001	0.8035
0.0006348	0.3402
0.001118	5.521
0.0007121	2.804
0.0002439	0.5075
0.0002036	0.3537
0.0003441	2.011
0.0009051	4.659
0.0005628	1.405
0.0007243	0.5808
0.0001747	0.1947
0.0005982	0.9405
0.0008049	1.836
0.0002072	0.4733
0.001345	9.618
0.001225	3.547
0.0008678	0.3205
0.0009246	1.136
0.0008706	0.8638
0.0003709	1.194
0.0003801	0.5797
0.000401	2.39
0.001203	2.326
0.0003978	1.249
0.0006215	0.801
0.0005851	1.542
0.001383	6.635
0.001588	12.05
0.001713	1.37
0.001038	0.225
0.001724	2.397
0.0002446	0.4129
0.0007669	1.503
0.001074	3.184
0.002365	5.591
0.004096	7.36
0.002633	3.504
0.001011	1.454
0.001522	3.468
0.001257	3.804
0.001897	4.327
0.001307	1.585
0.001318	3.902
0.0008117	3.364
0.003631	7.218
0.003321	14.08
0.001557	3.87
0.002568	5.8
0.002991	5.53
0.002186	7.565
0.001496	5.78
0.0004512	1.006
0.00684	22.33
0.005429	12.17
0.0008855	2.023
0.002776	4.958
0.001334	4.147
0.001104	0.5803
0.001932	4.019
0.0003927	0.3423
0.006007	10.19
0.004302	7.047
0.002665	4.522
0.001376	1.872
0.0004306	0.8944
0.00145	0.9049
0.0006867	0.923
0.001842	2.895
0.0008557	1.47
0.003302	4.882
0.001213	1.723
0.001174	0.2135
0.01306	17.54
0.001494	3.367
0.01982	14.8
0.002788	4.994
0.0003693	0.3534
0.002445	3.248
0.003166	8.989
0.001209	2.815
0.001924	5.231
0.001657	3.046
0.001656	3.101
0.0007205	1.111
0.003219	3.783
0.001082	1.594
0.01206	9.426
0.001077	1.176
0.002444	8.011
0.000503	0.8973
0.00515	5.132
0.0006958	0.5826
0.001299	3.926
0.00168	3.882
0.001125	1.5
0.003507	5.046
0.005472	2.027
0.001282	1.173
0.001574	2.165
0.00362	2.722
0.0003149	0.3004
0.002392	6.305
0.001345	8.021
0.001942	4.667
0.0009184	3.019
0.000792	0.7854
0.002722	3.472
0.002798	9.775
0.001499	4.062
0.001091	6.471
0.0003287	2.769
0.0002169	0.8718
0.000132	0.2859
0.001931	1.336
0.001641	3.987
0.001687	1.93
0.0008258	3.339
0.0002323	0.7866
0.001508	3.115
0.0004856	1.96
0.0005337	1.372
0.002776	3.069
0.0002577	0.4067
0.0005174	0.6101
0.001605	1.388
0.001598	1.808
0.04363	80.74
0.02177	31.03
0.01442	27.45
0.01486	28.48
0.01595	21.78
0.01787	29.92
0.01144	20.31
0.002208	1.387
0.002779	3.752
0.002561	1.658
0.002554	4.473
0.001457	0.8487
0.0009757	0.6252
0.5301	771.6
0.09991	419.7
0.2744	445.1
0.05417	157.9
0.1076	186.6
0.07331	222.3
0.05133	292.5
0.02483	21.8
0.007919	32.56
0.002289	46.01
0.01824	46.04
0.01115	156.2
0.03872	136.5
0.002945	1.004
0.001602	0.4408
0.004007	1.971
0.005406	9.886
0.005042	15.0
0.002419	1.858
0.002583	10.97
0.005752	22.02
0.002146	2.171
0.002143	3.406
0.005783	15.48
0.004001	32.58
0.003701	2.415
0.003895	3.511
0.005018	18.14
0.005418	49.66
0.0008807	1.302
0.004634	3.118
0.004436	1.294
0.001051	0.8221
0.00193	7.412
0.001868	0.661
0.002987	0.504
0.003167	3.265
0.0009955	5.904
0.000707	6.71
0.002994	3.296
0.005642	5.255
0.002716	1.241
0.002996	8.417
0.00263	30.0
0.00294	2.107
0.004247	1.991
0.000425	0.5596
0.003106	2.11
0.002679	0.7282
0.002388	0.5864
0.004072	0.3244
0.003708	11.12
0.004657	23.56
0.003289	0.4603
0.002332	2.036
0.001668	1.68
0.003039	7.933
0.00543	0.2968
0.002733	4.556
0.002655	2.285
0.01306	4.153
0.001326	2.984
0.003799	13.05
0.002698	2.157
0.008719	3.46
0.002958	2.024
0.003735	6.832
0.008819	14.9
0.003056	2.004
0.003678	1.298
0.001615	0.4633
0.002489	2.577
0.007707	3.802
0.003465	3.087
